id,language,code,error,stack_trace,bug_type,severity,root_cause,fix
238,javascript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
239,python,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,HIGH,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
240,java,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
241,java,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,MEDIUM,The react package is missing from node_modules.,Run: npm install react react-dom.
242,typescript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
243,javascript,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,MEDIUM,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
244,python,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
245,javascript,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
246,python,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,LOW,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
247,javascript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
248,typescript,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
249,javascript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,LOW,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
250,javascript,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
251,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
252,java,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
253,python,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
254,javascript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
255,javascript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
256,python,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
257,javascript,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,MEDIUM,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
258,java,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,MEDIUM,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
259,typescript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,MEDIUM,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
260,java,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,HIGH,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
261,java,import { useState } from 'react';,Module not found: Error: Can't resolve 'react',Module not found: Error: Can't resolve 'react' in '/src',Import/Dependency Error,MEDIUM,The react package is missing from node_modules.,Run: npm install react react-dom.
262,java,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
263,javascript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,MEDIUM,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
264,python,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,HIGH,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
265,java,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
266,python,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,LOW,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
267,javascript,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,HIGH,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
268,javascript,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
269,javascript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,HIGH,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
270,javascript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
271,python,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
272,python,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,MEDIUM,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
273,javascript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,HIGH,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
274,python,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
275,java,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,LOW,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
276,python,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,MEDIUM,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
277,python,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,MEDIUM,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
278,typescript,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,CRITICAL,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
279,javascript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,HIGH,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
280,typescript,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,MEDIUM,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
281,javascript,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,CRITICAL,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
282,typescript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,MEDIUM,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
283,javascript,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,MEDIUM,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
284,python,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
285,java,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,HIGH,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
286,python,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,MEDIUM,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
287,typescript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
288,typescript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
289,java,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,CRITICAL,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
290,typescript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
291,java,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,MEDIUM,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
292,java,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
293,typescript,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
294,java,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,HIGH,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
295,java,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,HIGH,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
296,java,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,CRITICAL,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
297,javascript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,HIGH,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
298,javascript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,LOW,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
299,typescript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
300,python,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,LOW,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
301,python,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
302,typescript,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,LOW,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
303,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
304,python,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,MEDIUM,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
305,javascript,"def add(a, b)
    return a + b",SyntaxError: expected ':',"File ""main.py"", line 1
    def add(a, b)
SyntaxError: expected ':'",Syntax Error,MEDIUM,Missing colon at the end of the function definition line.,"Add a colon after the function signature: def add(a, b):"
306,java,"function isAdult(age) {
  return age > 18;
}",isAdult(18) returns false but should return true,,Logic Error,MEDIUM,Boundary condition uses '>' instead of '>=' for age 18.,Change the comparison to age >= 18.
307,java,"import pandas as pd
df = pd.read_csv('data.csv')",ModuleNotFoundError: No module named 'pandas',"File ""main.py"", line 1, in <module>
ModuleNotFoundError: No module named 'pandas'",Import/Dependency Error,LOW,The pandas package is not installed in the current environment.,"Run: pip install pandas, or add it to requirements.txt."
308,javascript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
309,typescript,"if (x > 5 {
  console.log('big');
}",SyntaxError: missing ) after condition,"SyntaxError: missing ) after condition
    at Object.compileFunction",Syntax Error,MEDIUM,The if-condition is missing a closing parenthesis.,Close the condition properly: if (x > 5) {
310,java,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
311,typescript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
312,python,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
313,javascript,"conn = psycopg2.connect(host='localhost', dbname='app')",OperationalError: could not connect to server,OperationalError: could not connect to server: Connection refused,Database Error,CRITICAL,The database server is not running or the connection details are wrong.,Confirm the DB service is running and connection parameters are correct.
314,python,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
315,python,"headers = {'Authorization': f'Bearer {token}'}
resp = requests.get(url, headers=headers)",401 Unauthorized: Invalid or expired token,,Authentication Error,HIGH,"The auth token is missing, malformed, or has expired.",Refresh the token before the request and handle 401 by re-authenticating.
316,typescript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
317,java,"response = requests.get('https://api.example.com/data')
print(response.json())",requests.exceptions.JSONDecodeError: Expecting value,"File ""main.py"", line 2, in <module>
JSONDecodeError: Expecting value",API Error,MEDIUM,"The API returned a non-JSON (e.g. HTML error) response, likely due to a bad endpoint or auth failure.","Check response.status_code before parsing, and verify the endpoint/auth."
318,python,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,HIGH,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
319,java,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,HIGH,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
320,typescript,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
321,python,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
322,java,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,HIGH,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
323,java,DEBUG = os.environ['DEBUG'],KeyError: 'DEBUG',"File ""settings.py"", line 1, in <module>
KeyError: 'DEBUG'",Configuration Error,LOW,Required environment variable DEBUG is not set.,"Use os.environ.get('DEBUG', 'False') with a sane default."
324,typescript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
325,python,let total = '5' * 'a';,"Result is NaN instead of throwing, causing downstream failures",,Type Error,HIGH,Multiplying a numeric string by a non-numeric string yields NaN silently.,Validate and parse inputs with Number() before arithmetic.
326,javascript,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,CRITICAL,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
327,javascript,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
328,javascript,SELECT * FROM orders WHERE customer_id = 123,Query takes 8 seconds on a 10M row table,,Performance Error,MEDIUM,Missing index on the customer_id column causes a full table scan.,Add an index: CREATE INDEX idx_orders_customer_id ON orders(customer_id).
329,java,"x = 10
y = 0
print(x / y)",ZeroDivisionError: division by zero,"File ""main.py"", line 3, in <module>
    print(x / y)
ZeroDivisionError: division by zero",Runtime Error,HIGH,Dividing a number by a variable that is zero at runtime.,Check the denominator for zero before dividing.
330,python,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
331,typescript,"obj = None
obj.doSomething();",TypeError: Cannot read properties of null (reading 'doSomething'),"TypeError: Cannot read properties of null
    at Object.<anonymous>",Runtime Error,HIGH,Calling a method on a null/undefined object reference.,Add a null check before calling obj.doSomething().
332,javascript,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
333,java,if (user.role === 'admin') { grantAccess(); },Unauthorized users are able to access admin routes,,Authentication Error,CRITICAL,Role check is done only on the client; the server does not verify it.,Enforce role-based access control on the server/API layer as well.
334,typescript,"arr = [1, 2, 3]
print(arr[5])",IndexError: list index out of range,"File ""main.py"", line 2, in <module>
    print(arr[5])
IndexError: list index out of range",Runtime Error,MEDIUM,Accessing an index beyond the length of the list.,"Add a bounds check before indexing, e.g. if len(arr) > 5."
335,typescript,fetch('/api/users').then(r => r.json()),TypeError: Failed to fetch,"TypeError: Failed to fetch
    at fetchUsers",API Error,CRITICAL,"The API endpoint is unreachable, possibly due to CORS or the server being down.",Verify the server is running and CORS headers are correctly configured.
336,python,"def is_even(n):
    return n % 2 == 1","No exception, but is_even(4) returns False incorrectly",,Logic Error,LOW,The modulo condition is inverted; it checks for odd instead of even.,Change the condition to n % 2 == 0.
337,javascript,DATABASE_URL = 'postgres://localhost/dev_db',Production app fails: connects to dev database instead of prod,,Configuration Error,CRITICAL,Hard-coded configuration value not overridden per environment.,Load DATABASE_URL from environment-specific config/secret manager.
338,javascript,"for item in large_list:
    if item in another_large_list:
        process(item)","No crash, but function takes 40+ seconds for 100k items",,Performance Error,HIGH,"Using 'in' on a list results in O(n) lookup, causing O(n*m) overall complexity.",Convert another_large_list to a set for O(1) average lookup time.
339,python,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
340,python,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,LOW,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
341,java,"for i in range(10)
    print(i)",SyntaxError: expected ':',"File ""loop.py"", line 1
SyntaxError: expected ':'",Syntax Error,LOW,The for-loop header is missing a trailing colon.,Add a colon: for i in range(10):
342,typescript,cursor.execute('SELECT * FROM users WHERE id = ' + user_id),psycopg2.errors.SyntaxError: syntax error at or near ...,psycopg2.errors.SyntaxError: syntax error at or near,Database Error,CRITICAL,Unsanitized string concatenation used to build the SQL query.,"Use parameterized queries: cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))."
343,java,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,MEDIUM,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
344,typescript,"age = '25'
next_year = age + 1","TypeError: can only concatenate str (not ""int"") to str","File ""main.py"", line 2, in <module>
TypeError: can only concatenate str (not ""int"") to str",Type Error,LOW,String value used in a numeric operation without conversion.,Convert the input to an integer: next_year = int(age) + 1.
345,javascript,"total = 0
for i in range(1, 10):
    total += i
print(total)",Output is 45 but expected sum 1..10 is 55,,Logic Error,MEDIUM,"range(1, 10) excludes 10, so the loop stops one short.","Use range(1, 11) to include 10 in the sum."
